guid,title,company,sentiment,content,upvotes,downvotes,parent_themes
681db7ce20329a43b221545e,ব্র‍্যাক আইটির করণীয়,BRAC IT,Negative,"আমি অনেক রিভিও পড়লাম।  কোম্পানির প্রতি আমার একটা আবেদন, আপনারা দয়াকরে মন দিয়ে একটু পড়বেন সব রিভিউ গুলো।
১. আমাদের আসলেই প্রোপার ইন্টারভিউর লেকিংস আছে, ব্র‍্যাক আইটি একটা স্পেসিফিক কোম্পানির লোকদের উপর বায়াস হয়ে গেছে,  ওই কোম্পানির লোকদের থেকে প্রোপার ইন্টারভিউ নেওয়া হয়না।  কিছুদিন পর আরো কিছু লোক জয়েন করবে তারাও ওই কোম্পানির লোক , আমি সন্দেহ পোষণ করছি ওদের থেকে কি আদো ভালোভাবে ইন্টারভিউ নেওয়া হয়েছে কি? এটা কি ট্যালেন্ট কে অবমাননা করা না? এসব জিনিস বন্ধ  করতে হবে
২. কোম্পানি তে কিছু উপরের লেভেলের মানুষদের ব্যাবহার খারাপ, আমার মতে এটা employee দের মনোবল নষ্ট করে দেয়,  দয়াকরে এসব এর দিকে একটু খেয়াল দিবেন।
৩. ব্র‍্যাক আইটিতে একটি স্পেসিফিক কোম্পানি লোকারা অনেক গ্রুপিং করে,  আমার মতে এতে বাকি  employee  রা একটি demotivated feel করে!  এটাও কোম্পানির খেয়াল রাখা দরকার
আমি কোম্পানির খারাপের জন্য কিছুই বলিনি।  আমাদের কোম্পানি বেশ ভালো করছে শুধু এসব ঠিক করতে পারলে ব্র‍্যাক আইটি আইটি ফিল্ডের লিড করবে বলে আমি মনে করি।  ধন্যবাদ",46,2,
681db6d020329a43b2215273,Leaders who made the company a living HELL,Portonics Limited,Negative,"Portonics was once regarded as a benchmark for company culture and developer experience in Bangladesh. It attracted top talent and fostered an environment where innovation and collaboration thrived. Unfortunately, that chapter seems to have come to a close.
In recent times, the departure of visionary leaders has left the company in the hands of individuals who appear to lack both the technical depth and emotional intelligence necessary to lead. The current leadership seems more concerned with control than with growth—both their own and their team’s. Rather than empowering developers, they push a culture of overwork, where 12–18 hour days for months on end are considered the norm. Refusing to comply with these unrealistic demands can quickly lead to one being labeled a “low performer.”
Perhaps most concerning is the toxic internal politics. Developers are subtly (and at times directly) encouraged to undermine their seniors—not based on merit or professionalism, but because those seniors pose a perceived threat to insecure leadership. Only exception is the QA Lead , who is the OG member of Portonics and still carries the old essence of the company
While the base salary structure remains competitive and annual increments are decent, the bonus system is poorly thought out and fails to reflect the contributions or sacrifices of the team.
Developers who value integrity, a healthy work-life balance, and a culture of mutual respect may want to think twice before committing to Portonics in its current state. Talented individuals have already begun to move on—and unless significant changes are made, that trend is likely to continue.
I was able to leave the company before it became unbearable. Can't say the same for my colleagues, who are still suffering . If you are Planing to join here, don't, trust me .
If you are appearing for the interview, if your skill set is better than the leader, you will be rejected. If your skill is moderate and you are submissive, you will be surely selected",4,0,
681db18020329a43b2214962,বাটপার লি**,Technovicinity Limited,Negative,"""লি*ন দ*: বাটপারির রাজা, এমপ্লয়ীদের রক্ত চুষে শোষণের মহাযজ্ঞ!""""টেকনোভিসিনিটির 'বাটপার' বস লি*ন দ*: বেতন আটকে রেখে, মিথ্যে প্রলোভন দিয়ে এমপ্লয়ীদের ঠকানোর এক্সপার্ট!""""শোষণের গুরু লি*ন দ*—নেক্সট সপ্তাহের ফাঁদে এমপ্লয়ীদের বেতন লুট, মানষিক অত্যাচারে মাস্টার!""""নামে 'দ*', কাজে 'দত্তক'—এমপ্লয়ীদের টাকা-স্বপ্ন সবই হজম!""😏
মিস্টার লি*ন দ* একাধারে সিইও, এমডি, প্রজেক্ট ম্যানেজার অফ টেকনোভিসিনিটি। এই ভদ্রলোকের সবচেয়ে ভালো দিক হলো, যারা এর এমপ্লয়ী ছিল, সবাই তার নাম উচ্চারণের আগে ""বাটপার"" শব্দটা ব্যবহার করে। টাকা মেরে খাওয়াতে সে খুবই পটু। কত এমপ্লয়ীর স্যালারি যে দেয়নি/মেরে খেয়েছে, তা গুনে শেষ করা যাবে না। একজন মানষিক ভারসম্মোহিন লোক। তার প্রমাণ, ২ বছর ধরে প্রতি সপ্তাহে এমপ্লয়ীদের বলে যাওয়া""নেক্সট সপ্তাহে টাকা দিচ্ছি""—যা কখনই আসে না!
এক কথায়""শোষণের মাস্টারমাইন্ড""—কাজের চাপ দিয়ে এমপ্লয়ীদের মানষিকভাবে নিঃশেষ করে দেয়, কিন্তু বিনিময়েজিরো ইনক্রিমেন্ট, জিরো রেস্পেক্ট। স্যালারি দেওয়া হয় মাসের পর মাস পেন্ডিং করে রেখে, আর পার্সোনাল লাইফটাকে করে তোলেএকটা লিভিং হেল। গার্মেন্টস ওয়ার্কারদের মতোই এক্সপ্লয়িট করে, কিন্তুস্ট্যাটাস দিয়ে ঢাকতে চায়।
সতর্কতা:এই লোকের কোম্পানিতে কাজ =টাকার বিনিময়ে আত্মসম্মান বিসর্জন!",4,5,
681dade720329a43b22145a6,ভালো একটা কোম্পানি ধংসের দিকে যাচ্ছে।,Computer Ease Limited,,"আমি ২০১৭-২০১৮ দিকে এই কোম্পানিতে জয়েন করি।ওই সময় কোম্পানির অবস্থা ভালো ছিলো।পরিবেশ ও ভালো ছিলো।কিন্ত কোম্পানির মালিকদের মধ্যে ঝামেলার জন্য আস্তে আস্তে কোম্পানির পতন শুরু হয়। পতন বলতে ভালো ভালো মিড লেভেলের ইঞ্জিনিয়াররা চাকরি ছাড়া শুরু করে।কিন্ত কোম্পানির মালিকরা বুঝেও না বোঝার ভান করে এবং এরা ভাবতে থাকে এতে কিছুই যায় আসে না।অথচ আমি শুনেছি ১৯৯২ সালে জন্ম নেয়া এই কোম্পানি শুরুর দিকে ফাউন্ডারের মায়ের কাছে থেকে টাকা নিয়ে এম্পলোয়ীদের বেতন দিত,এতটাই এম্পলোয়িদের প্রতি যত্নবান ছিলো।
ছুটি -ছাটার কথা যদি বলি, ছুটি নিয়ে কখনো আমাকে ভাবতে হয় নাই।বলার আগেই ছুটি মঞ্জুর হয়ে যেত।অফিস টাইম নিয়েও কখনো আমার পেরা ছিলো না(যদিও আমি ২৪ ঘন্টা অফিসের জন্য রেডি থাকতাম প্রজেক্টের ন্যাচার এর জন্য এবং অতিরিক্ত কাজের জন্য সবসময় ওভার টাইম এর টাকা দেয়া হত)
সেলারির কথা যদি বলি এদের সেলারি তুলনামুলক কম।কিন্ত ইনক্রিমেন্ট ও মোটামুটি। এই কোম্পানি মুলত মাঝারি মানের ফ্রেশার ডেভদের জন্য ভালো।২ বছর কাজ করতে পারলে ক্যারিয়ার ট্র‍্যাকে উঠে যাবে।
কোম্পানির মালিকরা নিজেদের ভিতর ঝামেলা করে কোম্পানিকে নষ্ট করে ফেলসে।এরা নেক্সট জেনারেশনের কাছে কোম্পানিকে ছাড়ে নাই।ভালো এম্পলোয়ীদের ডিসিশন মেকিং রোলে আসতে দেয় না।
Computer Ease Limited আমার কাছে একটা অনুভূতির মত। এত সুন্দর একটা অনুভূতিকে চোখের সামনে ধংস হতে দেখাটা কষ্টের।",7,0,
681dad3c20329a43b221445b,GOOD Organisation for start and sustain,BSRM,,"Good culture. Above Avg HR Service. Good environment.
Good Facilities.",3,0,
681dabaf20329a43b22142d1,সস্তায় রিমোট জব,Surbana Jurong Bangladesh,Negative,"* এখানে আপনি হোম অফিস পাবেন কিন্তু স্যালারি এভারেজ
* এখানে কিছু ম্যনেজমেন্ট আছে, খারুছ একদম
* এখানে হোম অফিস করতে পারেতেছেন এইটাই অনেক বেশি, আবার স্যালারি চান কেনো এই টাইপ চিন্তা ভাবনা!
* হোম অফিস এদের কাছে, কোম্পানির পক্ষ থেকে অনেক বড় বেনেফিট
* এখানে কাজের চেয়ে মিটিং বেশি হয়
* এখানে আপনাকে সবচেয়ে বড় যেই মূলা দেখানো হয় যে, আপনাকেও একদিন সিংগাপুর রিলোকেট করবে।
* কাজের চাপ কিছু টিমে অমানুষিক
* ল্যাপটপ দেয়, তবে একটা সফটওয়্যার ইনস্টল করতে গেলে পারমিশন নেওয়া লাগবে
* ছুটি নিতে গেলে, দুনিয়ার বিশ্লেষন দিতে হবে আপনাকে।
* বাৎসরিক পিকনিক, এর মূলা অনেক দিন ধরে খাওয়ায়ে আসতেছে এখনো",13,2,
681dab6f20329a43b2214131,"BRAC IT – A Playground for Power, Favoritism, and Toxic Culture",BRAC IT,Negative,"These counter-statements show how BRAC IT current management handle feedback, reflecting the mindset of the CEO, the Head of Delivery and Governance, the CTO, and the Head of Employee Experience, QA, and Admin. the CEO and HoD Delivery and Governance often silence employees through direct or indirect threats of termination, creating a culture where speaking up feels risky.
BRAC IT has relied heavily on BRAC as its main client for years. It’s not competitors damaging your reputation – it’s your own biased practices, favoritism, and internal power struggles.
You’ve created a culture that values loyalty over merit, encouraging small, exclusive groups, free mixing, unprofessional behavior, and ignoring genuine concerns. Instead of building a professional work environment, the focus has shifted to normalizing behaviors like drinking, promoting free mixing, party-like culture, and surrounding yourself with people who support your decisions, right or wrong, rather than those who are genuinely skilled.
The CEO often uses his connections with senior figures of BRAC to avoid accountability, mentioning these links to suppress dissent. The Head of Delivery and Governance, despite having limited leadership skills, was hired to a senior role, largely due to his loyalty to the current acting CEO and personal connections. His past behavior, including reported arrogance and unprofessional conduct, has created a toxic work environment where even female colleagues hesitate to speak up, fearing job insecurity. He reportedly secured his position through personal influence rather than merit, leveraging his network to gain power.
Meanwhile, loyal but unskilled hires are brought in to support the personal agendas of the leadership, creating a culture where real talent is sidelined, and genuine employees are overburdened, handling both their own work and the work of these favored but less competent colleagues.
This toxic culture is eroding the company’s long-term reputation, making it a place for chilling and enjoyment rather than real work and growth.",22,1,
681da9f320329a43b2213da8,They fire every year,Doodle,Negative,They fire every year,8,0,
681da8dd20329a43b2213aa9,"উপরে ফিটফাট, ভিতরে সদরঘাট!",Astha.IT,Negative,"এখানে বেতন বাড়ানো, প্রমোশন পাওয়া সব নির্ভর করে কে কত বেশি তেল মেরে চলতে পারে, যোগ্যতা অথবা কাজ দিয়ে কিছু প্রমাণ হয় না। যার চাপার জোর যত, সে তত এগিয়ে। কে কিরকম সুবিধা পাবে সেটাও এই তেলবাজির উপর নির্ভরশীল ।
অনেক সিনিয়র এর থেকে কিছু জুনিয়র অনেক বেশি যোগ্য কিন্তু তাও তার কোনও মূল্যায়ন পায় না।
কোম্পানি পলিসি নিয়ে কোনোরকম সমালোচনা হায়ার ম্যানেজমেন্ট পছন্দ করে না এবং যে এই কাজ করে তাঁকে টার্গেট করা হয়।
কিছু স্পেসিফিক সিনিয়র কে তেল মেরে কেউ কেউ কোনও জাতের কাজ না করেও বছরের পর বছর এখানে টিকে আছে।
পরিচিত/ আত্মীয়দের হায়ার করা হয় যদি সেই পজিশন এ লোক দরকার নাও থাকে তাও!
সোশ্যাল মার্কেটিং দেখে মনে হয় এই কোম্পানি ওয়ান অফ দ্য বেস্ট বাট আদতে ভিতরের চিত্র অন্যরকম।
তুমুল অফিস পলিটিক্স চলে। যে যত গ্রুপ মেইনটেইন করতে পারে সে তত সাকসেসফুল। জুনিয়র কলিগ দের প্রতি কোনোরকম সম্মান প্রদর্শন করে না, আর সিনিয়র রাও তেমন হেল্পফুল না।
যে সিনিয়র যত বেশি মাইক্রো-ম্যানেজমেন্ট করতে পারে, তাঁকে দায়িত্ব তত বেশি দেওয়া হয়। ইচ্ছা করলেই যে কোনও সিনিয়র জুনিয়র কে খোঁচা মেরে কথা বলা, খারাপ ব্যবহার করতে পারে।",21,2,
681da85520329a43b221398f,Pathetic Environment,Bongo,,The culture is toxic. Se**st managing director. Nepotism and favouritism everywhere.,2,0,
681da48520329a43b2213189,Why BRAC IT Becoming Selies 2.0 – A Comedy Show in IT World,BRAC IT,Negative,"BRAC IT is not just an IT company anymore. It’s turning intoSelies 2.0, aka ""Revenge of the Nerds – Bangladesh Edition.""
Why? Because their CTO, Mr. T**u, came from Selies. And guess what? He brought half the Selies IT team with him – like it’s a picnic, not a company. No qualification check, no skill check – just “Bro, come join!”
It’s not hiring, it’s“bring your friends to work” day – every day.
Rumor says T**u had some drama with Selies before. So now he’s turning BRAC IT into a Selies clone, maybe to show “who’s boss now.” It's not IT, it'sIT-vengers: Endgame.
Also, interviews? What’s that? BRAC IT doesn’t do interviews if you're from Selies. Just say “Selies” and they open the gate like you're VIP.
So now, BRAC IT is not “Better IT,” it’s “Budget Selies with extra drama.”
How to Fix BRAC IT Turning into Selies 2.0 – The Rescue Plan
Okay BRAC IT, don’t panic. You can still stop the “Selies Invasion.” Here's how to fix it before it becomes a full-blown IT soap opera:
Stop Hiring Like It's a Family PicnicJust because someone worked in Selies doesn't mean they’re an IT ninja. Use interviews. Real ones. Not “Hey bro, you free from Selies? Join BRAC IT!”
Check Skills, Not Friend ListWant to build a strong team? Try checking CVs and skills, not just if someone was in T**u Bhai’s old gang. A company is not a reunion party.
Create a Real Hiring ProcessInterviews should have questions, not coffee and gossip. HR should be HR, not “Old Selies Club President.”
Build BRAC IT Identity, Not Selies ReloadedBRAC IT needs its own culture, not a Selies remix. Make it unique, not “Selies with a new logo.”
Keep Emotions Out of BusinessIf T**u Bhai wants revenge, tell him to play PUBG, not run a company like a revenge drama. Business needs logic, not serial plot twists.
Bring Diversity in TeamMix it up! Get fresh minds, from other companies, even new grads. BRAC IT should look like a tech team, not a Selies reunion photo.",27,6,
